# The query language's own function catalogue: a function name and the description the
# engine publishes for it. A schema token equal to a function's name is a fact about the
# standard this tool executes rather than an observation of any corpus, and the entry's
# own description is what states the words the name stands for — abs is published as
# "Absolute value", which is the citation, not a guess about it.
#
# Source: DuckDB's duckdb_functions() catalogue, read from the embedded engine at
#   version v1.5.5; scalar and aggregate functions only.
# Licence: DuckDB is distributed under the MIT licence
#   (https://github.com/duckdb/duckdb/blob/main/LICENSE). A function's name and the
#   description of what it computes are statements of the standard the tool runs.
# Generated by SqlFunctionExtraction: 506 functions.
!__postfix	Factorial of x. Computes the product of the current integer and all integers below it
&	Bitwise AND
cardinality	Returns the size of the map (or the number of entries in the map)
cast_to_type	Casts the first argument to the type of the second argument
cbrt	Returns the cube root of x
ceil	Rounds the number up
ceiling	Rounds the number up
century	Extract the century component from a date or timestamp
char_length	Number of characters in `string`.
char_length	Returns the bit-length of the `bit` argument.
char_length	Returns the length of the `list`.
character_length	Number of characters in `string`.
character_length	Returns the bit-length of the `bit` argument.
character_length	Returns the length of the `list`.
chr	Returns a character which is corresponding the ASCII code value or Unicode code point.
concat	Concatenates multiple strings or lists. `NULL` inputs are skipped. See also operator `||`.
concat_ws	Concatenates many strings, separated by `separator`. `NULL` inputs are skipped.
constant_or_null	If arg2 is NULL, return NULL. Otherwise, return arg1.
contains	Returns `true` if `search_string` is found within `string`.
corr	Returns the correlation coefficient for non-NULL pairs in a group.
cos	Computes the cos of x
cosh	Computes the hyperbolic cos of x
cot	Computes the cotangent of x
count	Returns the number of non-NULL values in arg.
count_if	Counts the total number of TRUE values for a boolean column
countif	Counts the total number of TRUE values for a boolean column
covar_pop	Returns the population covariance of input values.
covar_samp	Returns the sample covariance for non-NULL pairs in a group.
create_sort_key	Constructs a binary-comparable sort key based on a set of input parameters and sort qualifiers
current_connection_id	Get the current connection_id
current_database	Returns the name of the currently active database
current_query	Returns the current query as a string
current_query_id	Get the current query_id
current_schema	Returns the name of the currently active schema. Default is main
current_schemas	Returns list of schemas. Pass a parameter of True to include implicit schemas
current_setting	Returns the current value of the configuration setting
current_transaction_id	Get the current global transaction_id
currval	Return the current value of the sequence. Note that nextval must be called at least once prior to calling currval.
damerau_levenshtein	Extension of Levenshtein distance to also include transposition of adjacent characters as an allowed edit operation. In other words, the minimum number of edit operations (insertions, deletions, substitutions or transpositions) required to change one string to another. Characters of different cases (e.g., `a` and `A`) are considered different.
date_diff	The number of partition boundaries between the timestamps
date_part	Get subfield (equivalent to extract)
date_sub	The number of complete partitions between the timestamps
date_trunc	Truncate to specified precision
datediff	The number of partition boundaries between the timestamps
datepart	Get subfield (equivalent to extract)
datesub	The number of complete partitions between the timestamps
datetrunc	Truncate to specified precision
day	Extract the day component from a date or timestamp
dayname	The (English) name of the weekday
dayofmonth	Extract the dayofmonth component from a date or timestamp
dayofweek	Extract the dayofweek component from a date or timestamp
dayofyear	Extract the dayofyear component from a date or timestamp
decade	Extract the decade component from a date or timestamp
decode	Converts `blob` to `VARCHAR`. Invalid UTF-8 is handled based on the error behavior argument. Can be 'strict' (default, fail), 'replace' to replace invalid characters with '?', or 'ignore' to skip invalid characters.
degrees	Converts radians to degrees
editdist3	The minimum number of single-character edits (insertions, deletions or substitutions) required to change one string to the other. Characters of different cases (e.g., `a` and `A`) are considered different.
element_at	Returns a list containing the value for a given key or an empty list if the key is not contained in the map. The type of the key provided in the second parameter must match the type of the map’s keys else an error is returned
encode	Converts the `string` to `BLOB`. Converts UTF-8 characters into literal encoding.
ends_with	Returns `true` if `string` ends with `search_string`.
entropy	Returns the log-2 entropy of count input-values.
enum_code	Returns the numeric value backing the given enum value
enum_first	Returns the first value of the input enum type
enum_last	Returns the last value of the input enum type
enum_range	Returns all values of the input enum type as an array
enum_range_boundary	Returns the range between the two given enum values as an array. The values must be of the same enum type. When the first parameter is NULL, the result starts with the first value of the enum type. When the second parameter is NULL, the result ends with the last value of the enum type
epoch	Extract the epoch component from a temporal type
epoch_ms	Extract the epoch component in milliseconds from a temporal type
epoch_ns	Extract the epoch component in nanoseconds from a temporal type
epoch_us	Extract the epoch component in microseconds from a temporal type
equi_width_bins	Generates bin_count equi-width bins between the min and max. If enabled nice_rounding makes the numbers more readable/less jagged
era	Extract the era component from a date or timestamp
error	Throws the given error message
even	Rounds x to next even number by rounding away from zero
exp	Computes e to the power of x
factorial	Factorial of x. Computes the product of the current integer and all integers below it
favg	Calculates the average using a more accurate floating point summation (Kahan Sum)
filter	Constructs a list from those elements of the input `list` for which the `lambda` function returns `true`. DuckDB must be able to cast the `lambda` function's return type to `BOOL`. The return type of `list_filter` is the same as the input list's.
first	Returns the first value (NULL or non-NULL) from arg. This function is affected by ordering.
flatten	Flattens a nested list by one level.
floor	Rounds the number down
format	Formats a string using the fmt syntax.
formatReadableDecimalSize	Converts `integer` to a human-readable representation using units based on powers of 10 (KB, MB, GB, etc.).
formatReadableSize	Converts `integer` to a human-readable representation using units based on powers of 2 (KiB, MiB, GiB, etc.).
format_bytes	Converts `integer` to a human-readable representation using units based on powers of 2 (KiB, MiB, GiB, etc.).
from_base64	Converts a base64 encoded `string` to a character string (`BLOB`).
from_binary	Converts a `value` from binary representation to a blob.
from_hex	Converts a `value` from hexadecimal representation to a blob.
fsum	Calculates the sum using a more accurate floating point summation (Kahan Sum).
gamma	Interpolation of (x-1) factorial (so decimal inputs are allowed)
gcd	Computes the greatest common divisor of x and y
gen_random_uuid	Returns a random UUID v4 similar to this: eeccb8c5-9943-b2bb-bb5e-222f4e14b687
generate_series	Creates a list of values between `start` and `stop` - the stop parameter is inclusive.
get_bit	Extracts the nth bit from bitstring; the first (leftmost) bit is indexed 0
get_current_timestamp	Returns the current timestamp
get_type	Returns the type of the result of the expression
grade_up	Works like list_sort, but the results are the indexes that correspond to the position in the original list instead of the actual values.
greatest	Returns the largest value. For strings lexicographical ordering is used. Note that lowercase characters are considered “larger” than uppercase characters and collations are not supported.
greatest_common_divisor	Computes the greatest common divisor of x and y
group_concat	Concatenates the column string values with an optional separator.
hamming	The Hamming distance between to strings, i.e., the number of positions with different characters for two strings of equal length. Strings must be of equal length. Characters of different cases (e.g., `a` and `A`) are considered different.
hash	Returns a `UBIGINT` with the hash of the `value`. Note that this is not a cryptographic hash.
hex	Converts `blob` to `VARCHAR` using hexadecimal encoding.
hex	Converts the `string` to hexadecimal representation.
hex	Converts the `value` to `VARCHAR` using hexadecimal representation.
histogram	Returns a LIST of STRUCTs with the fields bucket and count.
histogram_exact	Returns a LIST of STRUCTs with the fields bucket and count matching the buckets exactly.
hour	Extract the hour component from a date or timestamp
ilike_escape	Returns `true` if the `string` matches the `like_specifier` (see Pattern Matching) using case-insensitive matching. `escape_character` is used to search for wildcard characters in the `string`.
in_search_path	Returns whether or not the database/schema are in the search path
instr	Returns location of first occurrence of `search_string` in `string`, counting from 1. Returns 0 if no match found.
is_histogram_other_bin	Whether or not the provided value is the histogram "other" bin (used for values not belonging to any provided bin)
isfinite	Returns true if the floating point value is finite, false otherwise
isinf	Returns true if the floating point value is infinite, false otherwise
isnan	Returns true if the floating point value is not a number, false otherwise
isodow	Extract the isodow component from a date or timestamp
isoyear	Extract the isoyear component from a date or timestamp
jaccard	The Jaccard similarity between two strings. Characters of different cases (e.g., `a` and `A`) are considered different. Returns a number between 0 and 1.
jaro_similarity	The Jaro similarity between two strings. Characters of different cases (e.g., `a` and `A`) are considered different. Returns a number between 0 and 1. For similarity < `score_cutoff`, 0 is returned instead. `score_cutoff` defaults to 0.
jaro_winkler_similarity	The Jaro-Winkler similarity between two strings. Characters of different cases (e.g., `a` and `A`) are considered different. Returns a number between 0 and 1. For similarity < `score_cutoff`, 0 is returned instead. `score_cutoff` defaults to 0.
julian	Extract the Julian Day number from a date or timestamp
kahan_sum	Calculates the sum using a more accurate floating point summation (Kahan Sum).
kurtosis	Returns the excess kurtosis (Fisher’s definition) of all input values, with a bias correction according to the sample size
kurtosis_pop	Returns the excess kurtosis (Fisher’s definition) of all input values, without bias correction
last	Returns the last value of a column. This function is affected by ordering.
last_day	Returns the last day of the month
lcase	Converts `string` to lower case.
lcm	Computes the least common multiple of x and y
least	Returns the smallest value. For strings lexicographical ordering is used. Note that uppercase characters are considered “smaller” than lowercase characters, and collations are not supported.
least_common_multiple	Computes the least common multiple of x and y
left	Extracts the left-most count characters.
left_grapheme	Extracts the left-most count grapheme clusters.
len	Number of characters in `string`.
len	Returns the bit-length of the `bit` argument.
len	Returns the length of the `list`.
length	Number of characters in `string`.
length	Returns the bit-length of the `bit` argument.
length	Returns the length of the `list`.
length_grapheme	Number of grapheme clusters in `string`.
levenshtein	The minimum number of single-character edits (insertions, deletions or substitutions) required to change one string to the other. Characters of different cases (e.g., `a` and `A`) are considered different.
lgamma	Computes the log of the gamma function
like_escape	Returns `true` if the `string` matches the `like_specifier` (see Pattern Matching) using case-sensitive matching. `escape_character` is used to search for wildcard characters in the `string`.
list	Returns a LIST containing all the values of a column.
list_aggr	Executes the aggregate function `function_name` on the elements of `list`.
list_aggregate	Executes the aggregate function `function_name` on the elements of `list`.
list_apply	Returns a list that is the result of applying the `lambda` function to each element of the input `list`. The return type is defined by the return type of the `lambda` function.
list_cat	Concatenates lists. `NULL` inputs are skipped. See also operator `||`.
list_concat	Concatenates lists. `NULL` inputs are skipped. See also operator `||`.
list_contains	Returns true if the list contains the element.
list_cosine_distance	Computes the cosine distance between two same-sized lists.
list_cosine_similarity	Computes the cosine similarity between two same-sized lists.
list_distance	Calculates the Euclidean distance between two points with coordinates given in two inputs lists of equal length.
list_distinct	Removes all duplicates and `NULL` values from a list. Does not preserve the original order.
list_dot_product	Computes the inner product between two same-sized lists.
list_element	Extract the `index`th (1-based) value from the list.
list_extract	Extract the `index`th (1-based) value from the list.
list_filter	Constructs a list from those elements of the input `list` for which the `lambda` function returns `true`. DuckDB must be able to cast the `lambda` function's return type to `BOOL`. The return type of `list_filter` is the same as the input list's.
list_grade_up	Works like list_sort, but the results are the indexes that correspond to the position in the original list instead of the actual values.
list_has	Returns true if the list contains the element.
list_has_all	Returns true if all elements of list2 are in list1. NULLs are ignored.
list_has_any	Returns true if the lists have any element in common. NULLs are ignored.
list_indexof	Returns the index of the `element` if the `list` contains the `element`. If the `element` is not found, it returns `NULL`.
list_inner_product	Computes the inner product between two same-sized lists.
list_intersect	Returns a list containing the distinct elements that are present in both `list1` and `list2`.
list_negative_dot_product	Computes the negative inner product between two same-sized lists.
list_negative_inner_product	Computes the negative inner product between two same-sized lists.
list_pack	Creates a LIST containing the argument values.
list_position	Returns the index of the `element` if the `list` contains the `element`. If the `element` is not found, it returns `NULL`.
list_reduce	Reduces all elements of the input `list` into a single scalar value by executing the `lambda` function on a running result and the next list element. The `lambda` function has an optional `initial_value` argument.
list_resize	Resizes the `list` to contain `size` elements. Initializes new elements with `value` or `NULL` if `value` is not set.
list_reverse_sort	Sorts the elements of the list in reverse order.
list_select	Returns a list based on the elements selected by the `index_list`.
list_slice	Extracts a sublist or substring using slice conventions. Negative values are accepted.
list_slice	list_slice with added step feature.
list_sort	Sorts the elements of the list.
list_transform	Returns a list that is the result of applying the `lambda` function to each element of the input `list`. The return type is defined by the return type of the `lambda` function.
list_unique	Counts the unique elements of a `list`.
list_value	Creates a LIST containing the argument values.
list_where	Returns a list with the `BOOLEAN`s in `mask_list` applied as a mask to the `value_list`.
list_zip	Zips n `LIST`s to a new `LIST` whose length will be that of the longest list. Its elements are structs of n elements from each list `list_1`, …, `list_n`, missing elements are replaced with `NULL`. If `truncate` is set, all lists are truncated to the smallest list length.
listagg	Concatenates the column string values with an optional separator.
ln	Computes the natural logarithm of x
log	Computes the logarithm of x to base b. b may be omitted, in which case the default 10
log10	Computes the 10-log of x
log2	Computes the 2-log of x
lower	Converts `string` to lower case.
lpad	Pads the `string` with the `character` on the left until it has `count` characters. Truncates the `string` on the right if it has more than `count` characters.
ltrim	Removes any occurrences of any of the `characters` from the left side of the `string`. `characters` defaults to `space`.
mad	Returns the median absolute deviation for the values within x. NULL values are ignored. Temporal types return a positive INTERVAL.
make_date	The date for the given parts.
make_date	The date for the given struct.
make_time	The time for the given parts
make_timestamp	The timestamp for the given parts
make_timestamp_ms	The timestamp for the given microseconds since the epoch
make_timestamp_ns	The timestamp for the given nanoseconds since epoch
make_type	Construct a type from its name and optional parameters
map	Creates a map from a set of keys and values
map_concat	Returns a map created from merging the input maps, on key collision the value is taken from the last map with that key
map_contains	Checks if a map contains a given key.
map_entries	Returns the map entries as a list of keys/values
map_extract	Returns a list containing the value for a given key or an empty list if the key is not contained in the map. The type of the key provided in the second parameter must match the type of the map’s keys else an error is returned
map_extract_value	Returns the value for a given key or NULL if the key is not contained in the map. The type of the key provided in the second parameter must match the type of the map’s keys else an error is returned
map_from_entries	Returns a map created from the entries of the array
map_keys	Returns the keys of a map as a list
map_values	Returns the values of a map as a list
max	Returns the maximum value present in arg.
max_by	Finds the row with the maximum val. Calculates the non-NULL arg expression at that row.
md5	Returns the MD5 hash of the `blob` as a `VARCHAR`.
md5	Returns the MD5 hash of the `string` as a `VARCHAR`.
md5_number	Returns the MD5 hash of the `blob` as a `HUGEINT`.
md5_number	Returns the MD5 hash of the `string` as a `HUGEINT`.
mean	Calculates the average value for all tuples in x.
median	Returns the middle value of the set. NULL values are ignored. For even value counts, interpolate-able types (numeric, date/time) return the average of the two middle values. Non-interpolate-able types (everything else) return the lower of the two middle values.
microsecond	Extract the microsecond component from a date or timestamp
millennium	Extract the millennium component from a date or timestamp
millisecond	Extract the millisecond component from a date or timestamp
min	Returns the minimum value present in arg.
min_by	Finds the row with the minimum val. Calculates the non-NULL arg expression at that row.
minute	Extract the minute component from a date or timestamp
mismatches	The Hamming distance between to strings, i.e., the number of positions with different characters for two strings of equal length. Strings must be of equal length. Characters of different cases (e.g., `a` and `A`) are considered different.
mode	Returns the most frequent value for the values within x. NULL values are ignored.
month	Extract the month component from a date or timestamp
monthname	The (English) name of the month
nanosecond	Extract the nanosecond component from a date or timestamp
nextafter	Returns the next floating point value after x in the direction of y
nextval	Return the following value of the sequence.
nfc_normalize	Converts `string` to Unicode NFC normalized string. Useful for comparisons and ordering if text data is mixed between NFC normalized and not.
normalized_interval	Normalizes an INTERVAL to an equivalent interval
not_ilike_escape	Returns `false` if the `string` matches the `like_specifier` (see Pattern Matching) using case-insensitive matching. `escape_character` is used to search for wildcard characters in the `string`.
not_like_escape	Returns `false` if the `string` matches the `like_specifier` (see Pattern Matching) using case-sensitive matching. `escape_character` is used to search for wildcard characters in the `string`.
now	Returns the current timestamp
octet_length	Number of bytes in `blob`.
octet_length	Returns the number of bytes in the `bitstring`.
ord	Returns an `INTEGER` representing the `unicode` codepoint of the first character in the `string`.
parse_dirname	Returns the top-level directory name from the given `path`. `separator` options: `system`, `both_slash` (default), `forward_slash`, `backslash`.
parse_dirpath	Returns the head of the `path` (the pathname until the last slash) similarly to Python's `os.path.dirname`. `separator` options: `system`, `both_slash` (default), `forward_slash`, `backslash`.
parse_duckdb_log_message	Parse the message into the expected logical type
parse_filename	Returns the last component of the `path` similarly to Python's `os.path.basename` function. If `trim_extension` is `true`, the file extension will be removed (defaults to `false`). `separator` options: `system`, `both_slash` (default), `forward_slash`, `backslash`.
parse_formatted_bytes	Parses a human-readable representation of a size in bytes into an integer.
parse_path	Returns a list of the components (directories and filename) in the `path` similarly to Python's `pathlib.parts` function. `separator` options: `system`, `both_slash` (default), `forward_slash`, `backslash`.
pi	Returns the value of pi
position	Returns location of first occurrence of `search_string` in `string`, counting from 1. Returns 0 if no match found.
pow	Computes x to the power of y
power	Computes x to the power of y
prefix	Returns `true` if `string` starts with `search_string`.
printf	Formats a `string` using printf syntax.
product	Calculates the product of all tuples in arg.
quantile	Returns the exact quantile number between 0 and 1 . If pos is a LIST of FLOATs, then the result is a LIST of the corresponding exact quantiles.
quantile_cont	Returns the interpolated quantile number between 0 and 1 . If pos is a LIST of FLOATs, then the result is a LIST of the corresponding interpolated quantiles.
quantile_disc	Returns the exact quantile number between 0 and 1 . If pos is a LIST of FLOATs, then the result is a LIST of the corresponding exact quantiles.
quarter	Extract the quarter component from a date or timestamp
radians	Converts degrees to radians
random	Returns a random number between 0 and 1
range	Creates a list of values between `start` and `stop` - the stop parameter is exclusive.
reduce	Reduces all elements of the input `list` into a single scalar value by executing the `lambda` function on a running result and the next list element. The `lambda` function has an optional `initial_value` argument.
regexp_escape	Escapes special patterns to turn `string` into a regular expression similarly to Python's `re.escape` function.
regexp_extract	If `string` contains the `regex` pattern, returns the capturing group specified by optional parameter `group`; otherwise, returns the empty string. The `group` must be a constant value. If no `group` is given, it defaults to 0. A set of optional regex `options` can be set.
regexp_extract	If `string` contains the `regex` pattern, returns the capturing groups as a struct with corresponding names from `name_list`; otherwise, returns a struct with the same keys and empty strings as values. A set of optional regex `options` can be set.
regexp_extract_all	Finds non-overlapping occurrences of the `regex` in the `string` and returns the corresponding values of the capturing `group`. A set of optional regex `options` can be set.
regexp_full_match	Returns `true` if the entire `string` matches the `regex`. A set of optional regex `options` can be set.
regexp_matches	Returns `true` if `string` contains the `regex`, `false` otherwise. A set of optional regex `options` can be set.
regexp_replace	If `string` contains the `regex`, replaces the matching part with `replacement`. A set of optional regex `options` can be set.
regexp_split_to_array	Splits the `string` along the `regex`. A set of optional regex `options` can be set.
regr_avgx	Returns the average of the independent variable for non-NULL pairs in a group, where x is the independent variable and y is the dependent variable.
regr_avgy	Returns the average of the dependent variable for non-NULL pairs in a group, where x is the independent variable and y is the dependent variable.
regr_count	Returns the number of non-NULL number pairs in a group.
regr_intercept	Returns the intercept of the univariate linear regression line for non-NULL pairs in a group.
regr_r2	Returns the coefficient of determination for non-NULL pairs in a group.
regr_slope	Returns the slope of the linear regression line for non-NULL pairs in a group.
regr_sxy	Returns the population covariance of input values
remap_struct	Map a struct to another struct type, potentially re-ordering, renaming and casting members and filling in defaults for missing values
repeat	Repeats the `blob` `count` number of times.
repeat	Repeats the `string` `count` number of times.
replace	Replaces any occurrences of the `source` with `target` in `string`.
replace_type	Casts all fields of type1 to type2
reservoir_quantile	Gives the approximate quantile using reservoir sampling, the sample size is optional and uses 8192 as a default size.
reverse	Reverses the `string`.
right	Extract the right-most `count` characters.
right_grapheme	Extracts the right-most `count` grapheme clusters.
round	Rounds x to s decimal places
row	Create an unnamed STRUCT (tuple) containing the argument values.
rpad	Pads the `string` with the `character` on the right until it has `count` characters. Truncates the `string` on the right if it has more than `count` characters.
rtrim	Removes any occurrences of any of the `characters` from the right side of the `string`. `characters` defaults to `space`.
second	Extract the second component from a date or timestamp
sem	Returns the standard error of the mean
set_bit	Sets the nth bit in bitstring to newvalue; the first (leftmost) bit is indexed 0. Returns a new bitstring
setseed	Sets the seed to be used for the random function
sha1	Returns a `VARCHAR` with the SHA-1 hash of the `blob`.
sha1	Returns a `VARCHAR` with the SHA-1 hash of the `value`.
sha256	Returns a `VARCHAR` with the SHA-256 hash of the `blob`.
sha256	Returns a `VARCHAR` with the SHA-256 hash of the `value`
sign	Returns the sign of x as -1, 0 or 1
signbit	Returns whether the signbit is set or not
sin	Computes the sin of x
sinh	Computes the hyperbolic sin of x
skewness	Returns the skewness of all input values.
sleep_ms	Sleeps for the specified number of milliseconds and returns NULL
split	Splits the `string` along the `separator`.
sqrt	Returns the square root of x
st_asbinary	Returns the Well-Known Binary (WKB) representation of the geometry
st_astext	Returns the Well-Known Text (WKT) representation of the geometry
st_aswkb	Returns the Well-Known Binary (WKB) representation of the geometry
st_aswkt	Returns the Well-Known Text (WKT) representation of the geometry
st_crs	Returns the Coordinate Reference System (CRS) identifier of the geometry
st_geomfromwkb	Creates a geometry from Well-Known Binary (WKB) representation
st_intersects_extent	Returns true if the geometries bounding boxes intersect
st_setcrs	Sets the Coordinate Reference System (CRS) identifier of the geometry
starts_with	Returns `true` if `string` begins with `search_string`.
stats	Returns a string with statistics about the expression. Expression can be a column, constant, or SQL expression
stddev	Returns the sample standard deviation
stddev_pop	Returns the population standard deviation.
stddev_samp	Returns the sample standard deviation
str_split	Splits the `string` along the `separator`.
str_split_regex	Splits the `string` along the `regex`. A set of optional regex `options` can be set.
strftime	Converts a `date` to a string according to the format string.
string_agg	Concatenates the column string values with an optional separator.
string_split	Splits the `string` along the `separator`.
string_split_regex	Splits the `string` along the `regex`. A set of optional regex `options` can be set.
string_to_array	Splits the `string` along the `separator`.
strip_accents	Strips accents from `string`.
strlen	Number of bytes in `string`.
strpos	Returns location of first occurrence of `search_string` in `string`, counting from 1. Returns 0 if no match found.
strptime	Converts the `string` text to timestamp according to the format string. Throws an error on failure. To return `NULL` on failure, use try_strptime.
strptime	Converts the `string` text to timestamp applying the format strings in the list until one succeeds. Throws an error on failure. To return `NULL` on failure, use try_strptime.
struct_concat	Merge the multiple STRUCTs into a single STRUCT.
struct_contains	Check if an unnamed STRUCT contains the value.
struct_extract	Extract the named entry from the STRUCT.
struct_extract_at	Extract the entry from the STRUCT by position (starts at 1!).
