# The BIAN Service Landscape as a functional taxonomy of what a bank does: service domains,
# the business domain each is stated inside and the business area that holds it, each carrying
# the role definition BIAN states its purpose in and the example of use it states beside it.
# Like every functional taxonomy here it is a distribution to compare against: nobody writes
# AccountReconciliation as a term of art in code.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# broader is the business domain; module is the business area. definition is the role
# definition and the example of use joined, which is what BIAN states about the domain's
# purpose. A domain BIAN states no role definition for is not carried.
#
# Source: BIAN's own published artefacts, one specification file per service domain, at
#   https://github.com/bian-official/artefacts/tree/a928c56e7989492f7214b2bd0ae7b204644efc03,
#   pinned by the SHA-256 ContentDigest states over the specification set:
#   a6eca3a102942b5cc699653f243c24cfe1923f6bb580cd99a9655e38ba49fa19.
# Licence: Apache-2.0, stated in the publisher's own LICENSE file at that revision.
# Generated by BianServiceDomainsExtraction: 319 service domains.
BranchCurrencyManagement	Branch Currency Management		Channel Management	service-domain	Business Development	This service domain is responsible for tracking the available cash (currency) inventory held and distributed within the Branch location to teller and ATM positions, to ensure adequate float is always available at all positions. Also to check balances and see that excess cash is transferred to secure central storage as appropriate. If necessary specific criteria can be selected to refine the allocation Example of use:. The branch management reviews the available float and confirms end of day balances at the teller positions	
BranchLocationManagement	Branch Location Management		Channel Management	service-domain	Business Development	This service domain oversees/manages the day to day bank branch location activity, maintaining branch plans and budgets, assigning responsibilities, determining the optimum coverage of products and services and reporting on branch activity and performance Example of use:. A branch manager reviews product and service performance at their location and adjusts business development staffing priorities to target high-value business opportunities	
BranchLocationOperations	Branch Location Operations		Channel Specific	service-domain	Channels	Administer the day to day activity within the branch - allocating tellers and customer relationship managers to positions and tracking availability/performance, ensuring cash floats and product consumables are on hand and that all facilities are in working order A day in the life of a busy branch where all managers and tellers are not available and cash and product inventory reserves fall low	
BranchNetworkManagement	Branch Network Management		Channel Management	service-domain	Business Development	Configure the available services and products (ATM, office/table and teller assignments) for the branch locations across the overall branch portfolio. (Note an ATM is treated as a specific type of branch location in the BIAN model) The branch network is re-configured to accommodate a new or amended product that is targeting a specific customer segment (e.g. student loans at on campus branches)	
BranchPortfolio	Branch Portfolio		Channel Management	service-domain	Business Development	Evaluate coverage and relative performance of branches. Optimize product allocation and marketing activity across the available branch network. Business strategists assemble and review the distribution and relative product performance across the network and adjust the allocation accordingly	
BrandManagement	Brand Management		Marketing And Development	service-domain	Business Development	Define and develop the enterprise brand, including providing advice and guidance to marketing and product/service development activities that leverage the brand. Respond to events that potentially damage the brand or provide an opportunity to strengthen/leverage brand awareness Product design seeks input from the brand management unit to factor the brand into the product marketing materials and ensure alignment	
BrokeredProduct	Brokered Product		Consumer Banking	service-domain	Products	Administer any 3rd party coordination with brokered products and service supplied through any bank channel Access to insurance brokers for branch customer is administered by teller and relationship management personnel	
BuildingMaintenance	Building Maintenance		Buildings And Equipment	service-domain	Resource Management	Administer and execute site and utility maintenance and repair activities (building refit and decoration etc.) Building and repair work is scheduled and undertaken using contractors at a bank branch location	
BusinessArchitecture	Business Architecture		Intelectual Property And Knowledge	service-domain	Business Development	Develop and maintain a comprehensive array of business architectural designs and blueprints that reflect the corporate strategy, plan and operational configuration of the enterprise. Support the adoption of the business architecture throughout all procedure and systems development and deployment activities Example of use:. Business planning specialists define target business blueprints for staffing and information system/application support for the enterprise	
BusinessDevelopment	Business Development		Marketing And Development	service-domain	Business Development	Define, implement, track and assess the new business development plans for the enterprise or specific business divisions. This can cover business activities such as new market segment entry, product coverage and product specification development, brand development, new customer acquisition and existing customer, cross-sell/up-sell and retention. Corporate strategy develops targets for new business acquisition in selected market segments	
BusinessRiskModels	Business Risk Models		Operational Risk	service-domain	Finance And Risk Management	Develop and maintain models that assess commercial/business exposures Financial engineers develop and deploy a collection of business risk models that can run against different failure scenarios to assess exposure and determine mitigation needs	
BusinessUnitAccounting	Business Unit Accounting		Unit Management	service-domain	Resource Management	Maintain business unit accounting records Business unit expenses, profits and losses are tracked on a journal (and periodically posted to the associated sub ledger) for accounting purposes	
BusinessUnitDirection	Business Unit Direction		Unit Management	service-domain	Resource Management	Define and orchestrate business unit activity against the unit business strategy and operating plan Business unit management direct business unit resources to meet the operating plan commitments	
BusinessUnitFinancialAnalysis	Business Unit Financial Analysis		Unit Management	service-domain	Resource Management	Track and assess the financial performance of the business unit against projected performance and respond as appropriate Business unit management analyze the activity and business performance of the unit to rebalance or direct activity as necessary	
BusinessUnitFinancialOperations	Business Unit Financial Operations		Unit Management	service-domain	Resource Management	Authorize and book payments and receipts against the unit's financial transaction account Business unit costs and revenues are checked and booked against the business unit budget	
BusinessUnitManagement	Business Unit Management		Unit Management	service-domain	Resource Management	Handles the oversight and management of a general organizational business unit. This includes the definition and implementation of the management plan, overseeing ongoing activity and performance assessments and troubleshooting issues that might arise A business unit consolidates activity and performance details for periodic internal management reporting	
CardAuthorization	Card Authorization		Cards	service-domain	Products	The proposed card transaction is requested by a merchant and routed through the Acquirer and Card Network to the Issuer. The authorization decision is automated and can be extremely complex. Transactions may be passed for manual checks by on-line service representatives for out of pattern purchases. Note that authorized transaction amounts may vary from the actual final amount (e.g. pre authorized hotel/car hire and charged meals excluding tips) and in cases there will be no financial transaction for an authorized transaction if the customer chooses to pay using a different card/cash. While this function is primarily performed by the Issuer, Acquirers and Card Networks may perform Stand-in Authorization and forward the results to the Issuer for recording. A credit card customer makes a large purchase, the card authorization triggers a verbal check of the customer details for security and the authorization is given	
CardBillingAndPayments	Card Billing And Payments		Cards	service-domain	Products	Process card customer statement issuance and billing and payments processing At the cycle time a collection of card customer accounts a accessed and billing details determine and sent out. Payments are tracked and the facility status updated accordingly	
CardCapture	Card Capture		Cards	service-domain	Products	Capture the card payment transaction at the merchant/point of sale. This includes obtaining the authorization for the transaction by accessing the issuer's account through the card network. The authorized transactions are collected for subsequent batch reporting and settlement processing through the network Example of use:. A card user uses their card to pay for a meal at a restaurant	
CardCase	Card Case		Customer Care	service-domain	Customers	Capture, track, resolve and report on card related transactional disputes, handling all the dispute resolution messages between the Issuer, the Card Network and the Acquirer. A card holder reports a payment dispute to the contact center and a case is initiated. The account is credited and documentation requested from the merchant. The case is finally judged when the documents are available for review and all interested parties are notified of the resolution	
CardClearing	Card Clearing		Clearing And Settlement	service-domain	Operations	The behavior varies depending on the role of the participant bank/network. A card acquiring Bank consolidates all incoming transactions from Merchants, determining their routing, and transmitting to the respective Card Networks. For the Card Networks it receives and consolidates the transactions from all Acquiring Banks and to distribute and route them to the respective Card Issuing Banks. For the Card Issuing Banks it receives their cardholder transactions from the Card Networks and routes them to the instance of the Credit/Charge Card service domain which is responsible for the card used in the transaction. The transactions may include charges, refunds, and chargebacks. An Acquiring Bank receives charge transactions submitted by Merchants through Point of Sale Terminals or batch submission for recurring billing and forwards these transactions to the respective Card Issuing Banks through the Card Network (e.g. Visa, MC, AMEX, Diners, etc.). This process may take place multiple times during the day. .	
CardCollections	Card Collections		Operational Services	service-domain	Operations	The card collection process relates to the determination and execution of the optimal strategy to ensure the collection of unsecured distressed card debt, which may include aggressive collection efforts, renegotiation of payments terms in order to improve customer commitment to make the payment, or to take any applicable legal actions against the customer. A card account is canceled when the age of outstanding balance exceeds policy limits (normally 90 days) or when delinquency management and dunning efforts are determined to be unsuccessful at eliciting payment. The account is then assigned to an internal Collections department or an external Collection Agency for making aggressive attempts at securing the payment of the outstandings..	
CardFinancialSettlement	Card Financial Settlement		Clearing And Settlement	service-domain	Operations	This service domain is used by the Card Network to initiate either gross or net settlement for the charges cleared during a specified period and to issue settlement instructions to the Issuing and Acquiring Banks. This requires the Card Network to issue settlement instructions to each Issuing Bank directing them to remit the total amounts corresponding to the cleared charges to designated bank accounts that are managed by the Card Network, which in turn makes the corresponding remittances to the designated bank accounts for the Card Issuers.. The service domain is also used by the Issuing and Acquiring banks to perform reconciliation of the settlement instructions against the cleared charges and to initiate remittances through the Payment Order service domain. Card Charge transactions that are acquired from the Merchants by the Acquiring Bank and forwarded to the Issuing Banks through Card Clearing are periodically settled (generally once a day).	
CardNetworkParticipantFacility	Card Network Participant Facility		Cards	service-domain	Products	Cards issued by banks are affiliated with one of many international Card Networks, such as Visa, Master Card, Diners, American Express. This service domain is used by the Card Network for setting up Acquiring and Issuing Bank accounts and their terms and conditions. The Card Network signs up Acquiring Banks for recruiting and setting up accounts for merchants and Issuing Banks for issuing cards to its customers.	
CardTerminalAdministration	Card Terminal Administration		Channel Specific	service-domain	Channels	This service domain is responsible for the allocation of the Point of Sale Terminal of Authorization Link interface to the Merchant, configuring and activating the device or interface, and managing its ongoing status, including replacement of faulty devices or interfaces. The Acquiring Bank configures the terminal or the interface to meet the specific requirements of the Merchant depending on the merchant type, risk and other terms and conditions. A Merchant is assigned one or more devices or interfaces for processing Card Charge authorization and submission when an Acquiring Bank sets up a new Merchant Account. (Note this can involve a Point of Sale Terminal or an Authorization Link interface to the merchant's own cash register system).	
CardTerminalOperation	Card Terminal Operation		Channel Specific	service-domain	Channels	This service domain maintains a record of the transactions received from each Point of Sale Terminal or Authorization Link used by the Merchants to submit card charges and is used to help the merchant reconcile the transactions at the end of day or shift. Transactions are forwarded to the Card Clearing service domain when the terminal batches are closed by the merchant. The service domain also monitors the operating status of the terminals and handles terminal replacement. Charge transactions that are submitted by a Merchant through Point of Sale Terminals or Authorization Links are recorded by the Acquiring Bank as they are received and are held until the Merchant reconciles and closes a batch on the Terminal or Cash Register at the end of the day or shift. Transactions contained in batches that are closed by the Merchant are then sent for clearing.	
CardTransactionSwitch	Card Transaction Switch		Operational Services	service-domain	Operations	This service domain handles the processing and asynchronous switching of Card Transaction related messages, such as Authorization, Sale, Void, Refund, etc. between the Acquiring Bank and the Issuing Bank through the Card Network. It has a role within the Acquiring Bank in switching transactions acquired from the Merchant to the Card Network, within the Card Network to switch the transaction to the applicable Card Issuer, and within the Card Issuer to switch the transaction to the instance of the Card Authorization service domain for the card product involved. An authorization request or sale transaction message is received from the Point of Sale device by the Acquiring Bank, which then needs to route the message to the Card Issuing Bank through the Card Network (e.g. Visa, MC, AMEX or Diners etc.), await the response from the Card Issuer and communicate it to the Merchant through the Point of Sale device.	
CardeCommerceGateway	Card eCommerce Gateway		Clearing And Settlement	service-domain	Operations	This service domain is used by the Card Acquiring bank to handle the authentication, authorization and submission of a Card payment from an e-commerce merchant. It supports the 3-D" Secure method of authentication which routes the authentication request to the Card Issuing Bank, which may use multi-factor authentication for the authentication of the Card and the Cardholder. It also handles the routing of the authorization request through the Card Transaction Switch service domain and the routing of the submitted charges to the Card Clearing service domain." Example of use:. When a Card is used for making a payment on an e-commerce site of a Merchant, the Merchant initiates three steps to process the payment: 1) request authentication of the Card and the Cardholder, 2) request an authorization of the charge amount, and 3) submit the charge details to the Card Acquirer for processing and payment.	
CaseRootCauseAnalysis	Case Root Cause Analysis		Product Management	service-domain	Business Development	Analyze customer servicing case resolution records for root cause insights. Analysis can be focused for more specific analysis including: problematic product and service features that can be refined; possible operational weaknesses that might require improved training/guidelines; and, to detect possible credit/fraud patterns Example of use:. Contact center case resolution records are reviewed to identify recurring issues that can be resolved with improved servicing representative training and guidelines	
CashConcentration	Cash Concentration		Corporate Banking	service-domain	Products	Cash Concentration is a cash management service aimed at moving a balance, or part of a balance of an account to a different account. This can be done periodically and ad-hoc. Objectives could be to zero a specific account (e.g. during each EOD) or to replenish a particular account (e.g. in case of insufficient balance for a payment order). In the latter case it is necessary to define the sequence in which balances from other accounts are moved to the destination account.. A customer has an agreement with the bank for a certain (current) account which states that if the available balance of the account is insufficent to do a credit transfer or allow a direct debit, etc. the balance can be replenished from other accounts of the same or a different customer. The moving of funds is done until the first account holds sufficient balance or also the other accounts have no more available balance. This balance sweeping requires sequencing of the the accounts from which funds are being moved.	
CashManagementAndAccountServices	Cash Management And Account Services		Corporate Banking	service-domain	Products	Cash Management and Account Services combines the capabilities of a cash management account that in itself combines features of a current account and a savings account, with additional cash management services. The supporting features that make up the facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc. can be extended to include other features such as positive pay and reverse positive pay for check processing. A corporate customer implements a positive pay facility with the bank to reduce the exposure to check fraud for the checks it writes.	
CentralCashHandling	Central Cash Handling		Channel Management	service-domain	Business Development	This service domain is responsible for tracking the available cash inventory held centrally and distributed/collected throughout the branch/ATM network and making allocation/redistribution requests to ensure adequate float is available at all locations and that excess cash at any location is transferred to central secure locations as appropriate. Also coordinating with other banks and central banks to ensure sufficient cash is on hand to support the branch network requirements Example of use:. The central cash management function reviews the current and projected available float at locations across the network to ensure adequate supply to meet projected demand	
ChannelActivityAnalysis	Channel Activity Analysis		Channel Management	service-domain	Business Development	Channel activity analysis provides a range of analytical insights into channel use to support access controls, relationship sales and development approaches and to help detect possible fraudulent activity A customer attempts to self-serve a product sale but gives up. Later they call the contact center and their recent attempt is used to route the contact to a sales rep who is prompted to continue the product application	
ChannelActivityHistory	Channel Activity History		Cross Channel	service-domain	Channels	This service domain captures transaction activity across multiple channels/devices to provide recent activity details (such as an attempt at a self-service product application) to influence/inform service routing. The history is also used for access control and as a source of activity data for more detailed channel usage analysis Channel Activity Analysis draws on channel activity history data to support channel usage analysis to detect out of pattern behavior for customers	
ChannelPortfolio	Channel Portfolio		Channel Management	service-domain	Business Development	Evaluate the coverage and relative performance of different channels with respect to the blend of service and product activity. Optimize channel use to minimize costs and enhance customer experience Product designers review the performance of products over different channels and channel combinations to refine product designs and delivery	
ChequeLockBox	Cheque Lock Box		Corporate Banking	service-domain	Products	Consolidation of retail checks for a corporation (could be classified as another Cash Management service) A batch of checks are processed for a corporate customer with a lock box payment facility	
ChequeProcessing	Cheque Processing		Clearing And Settlement	service-domain	Operations	This service domains handles the processing of paper checks, performing the necessary checks and extracting the transaction details required to create a payment transaction record stream. This includes MICR number processing and character recognition facilities Example of use:. A batch of paper cheques captured at a merchant location is processed to initiate settlement processing	
CollateralAllocationManagement	Collateral Allocation Management		Custody, Collateral And Documents	service-domain	Operations	This service domain manages the collateral holdings for a customer, tracking and authorizing the allocation of collateral to different financial facilities. The service domain oversees periodic valuations and collateral asset maintenance activity as needed. The service domain also provides reports on overall collateral usage which can include applying specific analytical assessments to support general risk management (e.g. exposure to property value fluctuations based on prevailing market conditions) A corporate applies for a new facility and the available collateral is checked to see if there is sufficient collateral on hand to allocate to the loan	
CollateralAssetAdministration	Collateral Asset Administration		Custody, Collateral And Documents	service-domain	Operations	This service domain handles the oversight, administration and confirmation of maintenance tasks associated with different types of collateral items. This includes arranging for scheduled and ad-hoc collateral valuations, item status/documentation and title checks and tracking upkeep actions that the item owner is obliged to undertake (such as insuring a house) A back office unit determines which collateral items are due for a valuation review and documentation check and schedules the activities accordingly	
Collections	Collections		Custody, Collateral And Documents	service-domain	Operations	Administer the recovery and/or liquidation of collateral against problem accounts Example of use:. Collateral held against a failed account is valued and submitted for liquidation to recover losses	
CommissionAgreement	Commission Agreement		External Agency	service-domain	Operations	This service domain sets up and maintains the terms for applying commissions to transactions assigned to employees and representative service brokers or intermediaries Example of use:. An employee's commission agreement is established once they have qualified to undertake sales activity in the contact center	
Commissions	Commissions		Accounting Services	service-domain	Operations	Capture and structure commissionable transactions that are subsequently processed against an existing commission agreement Example of use:. A qualified servicing representative succeeds in selling an opportunity to an established customer and is awarded a commission	
CompanyBillingandPayments	Company Billing and Payments		Financial Control	service-domain	Finance And Risk Management	Handle the company billing and payments activity for company sales and purchases Company payments are processed	
CompetitorAnalysis	Competitor Analysis		Marketing And Development	service-domain	Business Development	This service domain provides the range of competitor analysis that inform and support product and service design and business development activities and decisions. It draws on external market research and internal business intelligence gathering as necessary. A standard set of analytical views can be defined and maintained as well as targeted ad-hoc analysis as necessary A product design unit obtains competitor analysis in order to refine product requirements	
ComplianceReporting	Compliance Reporting		Compliance	service-domain	Finance And Risk Management	This service domain schedules, consolidates information and reports on internal audit and compliance activity across the bank Example of use:. The financial accounting procedures for a back office function are audited	
ConsumerAdvisoryServices	Consumer Advisory Services		Advisory Services	service-domain	Products	Provide consumer customers with financial advice, for product selection, investments, tax optimization etc. The time spent may incur a charge particularly when specialist financial advisory resources are engaged A customer obtains tax optimization advice from a financial advisor at a branch	
ConsumerInvestments	Consumer Investments		Investment Services	service-domain	Customers	This supports consumer initiated securities investment and trading activity for their self-managed securities investments. Trades will typically be blocked/netted against the bank's own securities position for subsequent market execution. Quotes/prices are based on the prevailing price at the time of the customer instruction to trade An consumer initiates a securities purchase for their investment portfolio, providing funds from their linked 'trading' current account	
ConsumerLoan	Consumer Loan		Loans and Deposits	service-domain	Products	The consumer loan product may include different properties/features depending on a bank's preferences and policies. The loan is targeted at consumer customer and may be associated with a type of product and may or may not be secured by collateral. A consumer customer applies for and gets a loan to purchase new furniture..	
ContactCenterManagement	Contact Center Management		Channel Management	service-domain	Business Development	Handles the oversight and configuration of the contact center. Define and maintain the assignment of contact center resources to different contact traffic types (e.g. product/segment/issue). The contact center facility can include automated 'position' as well as personnel. Also covers troubleshooting major production problems Contact center management re-assigns servicing positions in response to service loading and customer wait times	
ContactCenterOperations	Contact Center Operations		Servicing	service-domain	Channels	Oversee and administer the day to day activity in the contact center. This includes the assignment of individuals to servicing positions in compliance with the service configuration determined by Contact Center Management. Also tracking staff availability and utilization during the servicing session and making necessary assignment adjustments to deal with servicing load. (Note servicing resources interact directly with the Contact Routing service domain to indicate when they are open to receive customer contacts) Contact center operations re-assigns staff to servicing positions to deal with peak loading for a specific product or service type	
ContactHandler	Contact Handler		Cross Channel	service-domain	Channels	BIAN defines a customer contact as the overarching structure handling a customer interaction from start to end. A contact can include one or more servicing dialogue 'sessions' in parallel or sequence to support different device/channel uses within the contact and to allow for the customer to be passed on to different servicing specialists as necessary during the contact. Each session is handled at a servicing position where the Contact Dialogue service domain is called to handle the specific customer interaction. Contact Handler concludes the contact, handles the authorization permissions and shares any contact information collected during the contact between sessions as necessary A customer is self serving on the web and then requests to talk to a servicing representative directory using the VoIP capability presented on the banks web portal.	
ContactRouting	Contact Routing		Cross Channel	service-domain	Channels	Contact Routing is called from Contact Management to identify the next available and most suited servicing resource to handle a servicing session within an active customer contact. Selection is optimized to leverage of specialized/qualified servicing resources based on any known details about the customer and the purpose of their contact with the bank. A high value customer contacts the bank. They have been flagged as a sales prospect and so are routed to the next available rep that is registered as being skilled in the specific product of interest and also experienced in sales	
ContinuityPlanning	Continuity Planning		Corporate Services	service-domain	Business Management	Develop, maintain and test continuity plans and supporting facilities for an appropriate range of possible failure scenarios A business continuity plan is developed for key business activities and assurance tests performed	
ContractorandSupplierAgreement	Contractor and Supplier Agreement		External Agency	service-domain	Operations	Maintain and administer master and project/task specific contractor/supplier legal agreements. Confirm on-going compliance The contractual arrangements with an established contractor/service provider are reviewed at year end	
ContributionAnalysis	Contribution Analysis		Marketing And Development	service-domain	Business Development	Execute contribution analysis across customer/product activity to expose business development opportunities Business development managers used contribution analysis to identify underperforming products/customers where additional business could be generated through increased sales, usage or pricing	
ContributionModels	Contribution Models		Models And Analytics	service-domain	Business Development	Develop and refine contribution models to detect underdeveloped business relationships and other opportunities Financial engineers evaluate the relative business performance of customers and products to identify patterns that highlight business development opportunities from increased sales, usage activity and/or pricing	
CorporateAction	Corporate Action		Market Operations	service-domain	Products	Administer the correct allocation of entitlements to a customer arising from corporate events (such as dividend and interest payments) A regular function is performed to determine and apply the cash entitlement allocation for a managed customer investment portfolio	
CorporateAllianceandStakeHolder	Corporate Alliance and Stake Holder		Corporate Relations	service-domain	Business Management	Manage key alliance and stake holder relationship - define tasks needed to develop and maintain contact and ensure relevant information is shared as appropriate Corporate strategy is communicated and aligned with a product alliance partner	
CorporateCommunications	Corporate Communications		Corporate Relations	service-domain	Business Management	Develop and distribute key corporate messages as needed to support the strategy and maintain the enterprise reputation and brand Press releases are developed to coincide with financial performance reporting	
CorporateCurrentAccount	Corporate Current Account		Corporate Banking	service-domain	Products	The Corporate Current Account is a financial facility that represents the general checking account facility at the core of corporate banking activity. There is a range of supporting features that make up the standard facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc.). The fulfillment can include a range of optional services, fees and interest payments and penalties and will often be bundled and or underlie/support other financial facilities and financial transactions A corporate customer established a corporate current account with the bank and requests a series of services (e.g., request printed statements, initiate a transfer, set up a standing order)	
CorporateFinance	Corporate Finance		Advisory Services	service-domain	Products	A fee or commission based project providing specialized financing advice (tactical and strategic) to a corporation A corporate client relationship manager coordinates with financial advisory services to provide a corporate customer with financing advice	
CorporateLease	Corporate Lease		Loans and Deposits	service-domain	Products	The Service Domain provides the financing support to support corporate customers with leasing arrangements for property and equipment. The bank will take a collateral interest in the leased items to underwrite the associated loan(s) Example of use:. A corporate customer establishes a corporate leasing facility with the bank to acquire critical production equipment and facilities under lease	
CorporateLoan	Corporate Loan		Loans and Deposits	service-domain	Products	The corporate loan product may include different properties/features depending on a bank's preferences and policies. The loan is targeted at corporate customers and may be associated with a type of product and may or may not be secured by collateral. A corporate customer applies for and gets a loan to purchase new equipment..	
CorporatePayrollServices	Corporate Payroll Services		Corporate Banking	service-domain	Products	Banks provide net salary payment services to corporate customers. The Corporate Payroll Services Service Domain handles this. The corporate customer provides data of its employees to the bank. The bank then opens a salary account for each employee and collects any remaining data from the employee directly. For employees who do not wish to open a salary account with the bank, accounts with other banks may be recorded as beneficiary accounts. A Corporate customer reaches an agreement with the bank on favourable conditions for salary accounts of its employees. The customer then informs its employees on the conditions and stimulates them to sign up to taking part in the company's salary package agreement. The company records the basic data from the participating employees. It send these as a batch to the bank and the bank opens the accounts. It then approaches the employees individually to complete the opening and onboarding activities.	
CorporatePolicies	Corporate Policies		Business Direction	service-domain	Business Management	Develop and communicate corporate policies that govern business execution Corporate policies are defined and published across the enterprise	
